IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.242.157.96,8080,0,false,HKG,Asia Pacific,Hong Kong,51,9.12
8.217.127.73,8080,0,false,HKG,Asia Pacific,Hong Kong,50,8.66
47.242.54.157,8080,0,false,HKG,Asia Pacific,Hong Kong,51,8.07
8.210.107.246,8080,0,false,HKG,Asia Pacific,Hong Kong,51,7.52
8.218.142.253,8080,0,false,HKG,Asia Pacific,Hong Kong,51,7.00
47.243.139.85,8080,0,false,HKG,Asia Pacific,Hong Kong,47,6.97
8.218.126.53,8080,0,false,HKG,Asia Pacific,Hong Kong,54,5.77
183.232.159.172,2052,0,false,HKG,Asia Pacific,Hong Kong,44,5.43
8.210.174.156,8080,0,false,HKG,Asia Pacific,Hong Kong,56,5.42
8.218.53.110,8080,0,false,HKG,Asia Pacific,Hong Kong,46,5.38
8.217.121.207,8080,0,false,HKG,Asia Pacific,Hong Kong,51,4.67
8.210.207.214,8080,0,false,HKG,Asia Pacific,Hong Kong,55,4.13
8.210.101.157,8080,0,false,HKG,Asia Pacific,Hong Kong,51,3.96
8.217.232.246,8080,0,false,HKG,Asia Pacific,Hong Kong,47,3.92
47.243.74.220,8080,0,false,HKG,Asia Pacific,Hong Kong,53,3.91
47.243.139.243,8080,0,false,HKG,Asia Pacific,Hong Kong,53,3.88
47.243.86.79,8080,0,false,HKG,Asia Pacific,Hong Kong,60,3.77
47.243.203.119,8080,0,false,HKG,Asia Pacific,Hong Kong,50,3.62
47.242.155.183,8080,0,false,HKG,Asia Pacific,Hong Kong,51,3.62
47.238.6.102,8080,0,false,HKG,Asia Pacific,Hong Kong,54,3.62
8.218.8.142,8080,0,false,HKG,Asia Pacific,Hong Kong,49,3.61
8.210.65.1,8080,0,false,HKG,Asia Pacific,Hong Kong,48,3.57
8.218.243.95,8080,0,false,HKG,Asia Pacific,Hong Kong,50,3.49
8.218.201.73,8080,0,false,HKG,Asia Pacific,Hong Kong,52,3.44
8.217.159.210,8080,0,false,HKG,Asia Pacific,Hong Kong,53,3.08
47.76.146.1,8080,0,false,HKG,Asia Pacific,Hong Kong,48,3.02
47.76.49.246,8080,0,false,HKG,Asia Pacific,Hong Kong,48,2.63
8.210.156.6,8080,0,false,HKG,Asia Pacific,Hong Kong,51,2.42
8.210.146.108,8080,0,false,HKG,Asia Pacific,Hong Kong,50,2.36
8.210.3.24,8080,0,false,HKG,Asia Pacific,Hong Kong,55,2.24
47.76.32.108,8080,0,false,HKG,Asia Pacific,Hong Kong,51,1.87
8.217.221.165,8080,0,false,HKG,Asia Pacific,Hong Kong,53,1.58
47.76.204.76,8080,0,false,HKG,Asia Pacific,Hong Kong,52,1.52
8.210.21.65,8080,0,false,HKG,Asia Pacific,Hong Kong,52,1.24
8.217.149.28,8080,0,false,HKG,Asia Pacific,Hong Kong,54,0.82
8.218.18.235,8080,0,false,HKG,Asia Pacific,Hong Kong,51,0.58
8.210.66.190,8080,0,false,HKG,Asia Pacific,Hong Kong,52,0.45
47.76.26.26,2087,0,true,HKG,Asia Pacific,Hong Kong,56,0.35
47.243.203.119,2086,0,false,HKG,Asia Pacific,Hong Kong,50,0.30
47.242.17.250,2083,0,true,HKG,Asia Pacific,Hong Kong,54,0.29
47.243.186.171,2087,0,true,HKG,Asia Pacific,Hong Kong,55,0.27
47.243.169.63,2082,0,false,HKG,Asia Pacific,Hong Kong,47,0.25
47.76.204.76,2087,0,true,HKG,Asia Pacific,Hong Kong,48,0.22
8.217.85.14,8880,0,false,HKG,Asia Pacific,Hong Kong,53,0.22
8.210.101.157,2095,0,false,HKG,Asia Pacific,Hong Kong,54,0.20
8.218.3.12,2096,0,true,HKG,Asia Pacific,Hong Kong,51,0.20
8.210.207.214,2082,0,false,HKG,Asia Pacific,Hong Kong,58,0.18
47.243.203.119,2083,0,true,HKG,Asia Pacific,Hong Kong,53,0.17
47.243.203.119,2082,0,false,HKG,Asia Pacific,Hong Kong,47,0.17
8.210.192.93,2087,0,true,HKG,Asia Pacific,Hong Kong,57,0.16
8.218.178.79,2083,0,true,HKG,Asia Pacific,Hong Kong,52,0.15
47.242.232.14,8443,0,true,HKG,Asia Pacific,Hong Kong,54,0.15
47.76.146.1,8880,0,false,HKG,Asia Pacific,Hong Kong,48,0.14
47.242.59.216,2052,0,false,HKG,Asia Pacific,Hong Kong,60,0.13
47.243.173.187,2082,0,false,HKG,Asia Pacific,Hong Kong,48,0.13
8.217.123.243,2083,0,true,HKG,Asia Pacific,Hong Kong,51,0.12
8.210.55.134,2082,0,false,HKG,Asia Pacific,Hong Kong,50,0.12
47.243.86.79,2096,0,true,HKG,Asia Pacific,Hong Kong,58,0.12
8.210.3.24,2082,0,false,HKG,Asia Pacific,Hong Kong,54,0.12
47.243.90.180,2082,0,false,HKG,Asia Pacific,Hong Kong,55,0.11
8.217.49.34,8880,0,false,HKG,Asia Pacific,Hong Kong,50,0.11
8.218.204.128,2095,0,false,HKG,Asia Pacific,Hong Kong,49,0.11
8.210.245.224,8880,0,false,HKG,Asia Pacific,Hong Kong,48,0.10
47.242.54.157,2096,0,true,HKG,Asia Pacific,Hong Kong,51,0.10
47.76.214.139,2087,0,true,HKG,Asia Pacific,Hong Kong,57,0.10
47.242.202.230,2087,0,true,HKG,Asia Pacific,Hong Kong,59,0.10
8.218.143.10,2083,0,true,HKG,Asia Pacific,Hong Kong,50,0.10
8.218.211.17,2082,0,false,HKG,Asia Pacific,Hong Kong,46,0.10
8.210.34.188,2096,0,true,HKG,Asia Pacific,Hong Kong,50,0.10
47.243.91.58,2087,0,true,HKG,Asia Pacific,Hong Kong,59,0.09
