IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.219.122.55,8080,0,false,SIN,Asia Pacific,Singapore,678,4.47
8.219.4.122,8080,0,false,SIN,Asia Pacific,Singapore,688,4.18
8.219.194.170,8080,0,false,SIN,Asia Pacific,Singapore,707,4.17
47.236.145.85,8080,0,false,SIN,Asia Pacific,Singapore,710,3.78
47.245.118.70,8080,0,false,SIN,Asia Pacific,Singapore,356,3.14
8.219.99.169,8080,0,false,SIN,Asia Pacific,Singapore,698,2.99
47.245.126.151,8080,0,false,SIN,Asia Pacific,Singapore,371,2.94
8.222.193.65,8080,0,false,SIN,Asia Pacific,Singapore,682,2.61
8.222.136.247,8080,0,false,SIN,Asia Pacific,Singapore,694,2.55
8.219.50.180,8080,0,false,SIN,Asia Pacific,Singapore,667,2.50
47.236.232.148,8080,0,false,SIN,Asia Pacific,Singapore,701,2.48
47.236.144.196,8080,0,false,SIN,Asia Pacific,Singapore,699,2.24
8.222.183.242,8080,0,false,SIN,Asia Pacific,Singapore,679,2.05
8.219.229.190,8080,0,false,SIN,Asia Pacific,Singapore,697,1.93
47.237.95.13,8080,0,false,SIN,Asia Pacific,Singapore,901,1.37
47.237.95.146,8080,0,false,SIN,Asia Pacific,Singapore,915,1.23
47.236.150.13,8080,0,false,SIN,Asia Pacific,Singapore,708,0.91
8.222.215.228,8080,0,false,SIN,Asia Pacific,Singapore,670,0.68
13.229.90.43,2086,0,true,SIN,Asia Pacific,Singapore,71,0.44
47.245.105.224,8443,0,true,SIN,Asia Pacific,Singapore,374,0.18
47.245.102.52,2087,0,true,SIN,Asia Pacific,Singapore,367,0.17
165.154.49.165,58680,0,true,SIN,Asia Pacific,Singapore,236,0.16
47.245.86.230,8443,0,true,SIN,Asia Pacific,Singapore,411,0.12
47.245.126.151,2052,0,false,SIN,Asia Pacific,Singapore,323,0.10
47.245.126.151,8880,0,false,SIN,Asia Pacific,Singapore,337,0.10
47.236.172.95,2082,0,false,SIN,Asia Pacific,Singapore,694,0.10
165.154.147.41,12218,0,true,SIN,Asia Pacific,Singapore,195,0.10
47.245.102.52,2053,0,true,SIN,Asia Pacific,Singapore,330,0.10
8.222.183.242,8880,0,false,SIN,Asia Pacific,Singapore,670,0.10
8.219.110.81,2052,0,false,SIN,Asia Pacific,Singapore,698,0.10
8.219.67.133,2086,0,false,SIN,Asia Pacific,Singapore,675,0.09
47.245.102.52,8443,0,true,SIN,Asia Pacific,Singapore,370,0.09
47.236.10.100,2082,0,false,SIN,Asia Pacific,Singapore,706,0.09
8.222.208.38,2082,0,false,SIN,Asia Pacific,Singapore,674,0.09
8.219.60.54,8880,0,false,SIN,Asia Pacific,Singapore,683,0.08
47.236.170.54,8880,0,false,SIN,Asia Pacific,Singapore,701,0.08
47.236.171.205,2052,0,false,SIN,Asia Pacific,Singapore,708,0.08
47.236.172.71,8880,0,false,SIN,Asia Pacific,Singapore,706,0.08
47.236.149.107,2086,0,false,SIN,Asia Pacific,Singapore,690,0.08
168.138.171.185,8443,0,true,SIN,Asia Pacific,Singapore,119,0.07
8.219.201.245,8080,0,false,SIN,Asia Pacific,Singapore,683,0.07
8.219.174.142,8880,0,false,SIN,Asia Pacific,Singapore,693,0.07
47.236.102.102,8080,0,false,SIN,Asia Pacific,Singapore,583,0.07
8.219.139.13,2095,0,false,SIN,Asia Pacific,Singapore,690,0.07
47.236.123.133,8880,0,false,SIN,Asia Pacific,Singapore,710,0.07
47.237.11.182,8880,0,false,SIN,Asia Pacific,Singapore,865,0.07
8.222.179.231,2086,0,false,SIN,Asia Pacific,Singapore,663,0.07
8.219.209.14,8880,0,false,SIN,Asia Pacific,Singapore,702,0.07
8.219.200.145,8080,0,false,SIN,Asia Pacific,Singapore,589,0.07
47.236.202.91,2052,0,false,SIN,Asia Pacific,Singapore,709,0.07
8.219.106.156,8080,8080,false,SIN,Asia Pacific,Singapore,576,0.07
47.236.253.41,8080,0,false,SIN,Asia Pacific,Singapore,586,0.07
8.219.209.14,8080,0,false,SIN,Asia Pacific,Singapore,590,0.07
47.236.10.182,2082,0,false,SIN,Asia Pacific,Singapore,701,0.06
47.236.180.51,2095,0,false,SIN,Asia Pacific,Singapore,713,0.06
47.236.169.141,8880,0,false,SIN,Asia Pacific,Singapore,587,0.06
47.236.202.91,2086,0,false,SIN,Asia Pacific,Singapore,698,0.06
47.236.144.156,2052,0,false,SIN,Asia Pacific,Singapore,691,0.06
8.219.209.14,2082,0,false,SIN,Asia Pacific,Singapore,695,0.06
47.236.166.131,8080,0,false,SIN,Asia Pacific,Singapore,600,0.06
47.236.150.13,2095,0,false,SIN,Asia Pacific,Singapore,702,0.06
8.219.99.169,2095,0,false,SIN,Asia Pacific,Singapore,569,0.06
8.219.114.201,2095,0,false,SIN,Asia Pacific,Singapore,569,0.06
8.222.134.170,2095,0,false,SIN,Asia Pacific,Singapore,677,0.06
47.236.150.13,8880,0,false,SIN,Asia Pacific,Singapore,704,0.06
47.236.117.48,2086,0,false,SIN,Asia Pacific,Singapore,668,0.06
47.245.105.224,2087,0,true,SIN,Asia Pacific,Singapore,379,0.06
8.219.210.64,2086,0,false,SIN,Asia Pacific,Singapore,694,0.06
47.236.93.176,8880,0,false,SIN,Asia Pacific,Singapore,654,0.06
8.219.40.37,2086,0,false,SIN,Asia Pacific,Singapore,562,0.05
47.245.126.151,2095,0,false,SIN,Asia Pacific,Singapore,326,0.05
47.237.84.173,8080,0,false,SIN,Asia Pacific,Singapore,808,0.05
47.236.180.51,8880,0,false,SIN,Asia Pacific,Singapore,594,0.05
8.222.237.131,2095,0,false,SIN,Asia Pacific,Singapore,606,0.05
47.236.169.141,8080,0,false,SIN,Asia Pacific,Singapore,598,0.05
8.219.1.92,8080,0,false,SIN,Asia Pacific,Singapore,636,0.05
47.236.144.48,8080,0,false,SIN,Asia Pacific,Singapore,593,0.05
47.236.170.54,2095,0,false,SIN,Asia Pacific,Singapore,720,0.05
8.219.11.158,2086,0,false,SIN,Asia Pacific,Singapore,674,0.05
47.236.232.148,8880,0,false,SIN,Asia Pacific,Singapore,663,0.05
8.219.126.240,8880,0,false,SIN,Asia Pacific,Singapore,558,0.05
47.236.158.158,8880,0,false,SIN,Asia Pacific,Singapore,592,0.05
47.245.86.230,2053,0,true,SIN,Asia Pacific,Singapore,391,0.05
8.219.104.37,8880,0,false,SIN,Asia Pacific,Singapore,666,0.05
8.219.174.213,8880,0,false,SIN,Asia Pacific,Singapore,692,0.05
47.237.95.13,8880,0,false,SIN,Asia Pacific,Singapore,887,0.04
47.236.145.85,8880,0,false,SIN,Asia Pacific,Singapore,732,0.04
47.236.205.188,2052,0,false,SIN,Asia Pacific,Singapore,695,0.04
8.219.0.162,2095,0,false,SIN,Asia Pacific,Singapore,567,0.04
47.236.102.102,8880,0,false,SIN,Asia Pacific,Singapore,597,0.04
8.219.98.13,8080,0,false,SIN,Asia Pacific,Singapore,567,0.04
47.236.202.91,8880,0,false,SIN,Asia Pacific,Singapore,701,0.04
8.222.208.38,8880,0,false,SIN,Asia Pacific,Singapore,570,0.04
168.138.182.37,8443,0,true,SIN,Asia Pacific,Singapore,145,0.04
8.219.210.64,2082,0,false,SIN,Asia Pacific,Singapore,718,0.04
47.236.180.24,2082,0,false,SIN,Asia Pacific,Singapore,692,0.04
8.219.6.150,2086,0,false,SIN,Asia Pacific,Singapore,573,0.04
47.236.254.120,8880,0,false,SIN,Asia Pacific,Singapore,582,0.04
47.236.121.23,2086,0,false,SIN,Asia Pacific,Singapore,597,0.03
47.236.172.71,2082,0,false,SIN,Asia Pacific,Singapore,593,0.03
47.236.150.13,2082,0,false,SIN,Asia Pacific,Singapore,703,0.03
47.237.82.15,8080,0,false,SIN,Asia Pacific,Singapore,797,0.03
47.245.118.70,2053,0,true,SIN,Asia Pacific,Singapore,342,0.03
8.222.215.228,2086,0,false,SIN,Asia Pacific,Singapore,661,0.03
8.219.0.48,2095,0,false,SIN,Asia Pacific,Singapore,673,0.03
47.236.172.95,8880,0,false,SIN,Asia Pacific,Singapore,584,0.03
47.237.95.13,2095,0,false,SIN,Asia Pacific,Singapore,791,0.03
8.219.191.40,2095,0,false,SIN,Asia Pacific,Singapore,585,0.03
8.219.106.156,2086,0,false,SIN,Asia Pacific,Singapore,685,0.03
47.236.237.90,2052,0,false,SIN,Asia Pacific,Singapore,701,0.03
47.237.95.146,2052,0,false,SIN,Asia Pacific,Singapore,877,0.03
8.219.97.50,8880,0,false,SIN,Asia Pacific,Singapore,694,0.03
47.236.145.85,2086,0,false,SIN,Asia Pacific,Singapore,596,0.02
8.219.93.5,8880,0,false,SIN,Asia Pacific,Singapore,565,0.02
47.236.180.51,2052,0,false,SIN,Asia Pacific,Singapore,594,0.02
47.236.205.188,2086,0,false,SIN,Asia Pacific,Singapore,586,0.02
47.236.146.249,2086,0,false,SIN,Asia Pacific,Singapore,693,0.02
8.222.187.4,2082,0,false,SIN,Asia Pacific,Singapore,661,0.02
8.219.240.160,2082,0,false,SIN,Asia Pacific,Singapore,693,0.02
47.236.118.216,2052,0,false,SIN,Asia Pacific,Singapore,716,0.02
8.219.202.130,8880,0,false,SIN,Asia Pacific,Singapore,702,0.02
47.236.167.231,2086,0,false,SIN,Asia Pacific,Singapore,589,0.02
8.222.183.242,2095,0,false,SIN,Asia Pacific,Singapore,669,0.02
8.219.4.122,8880,0,false,SIN,Asia Pacific,Singapore,694,0.01
47.237.82.15,2082,0,false,SIN,Asia Pacific,Singapore,822,0.01
8.222.184.198,2095,0,false,SIN,Asia Pacific,Singapore,654,0.01
8.219.11.158,2082,0,false,SIN,Asia Pacific,Singapore,694,0.01
8.222.167.147,8080,0,false,SIN,Asia Pacific,Singapore,560,0.01
8.219.1.92,2086,0,false,SIN,Asia Pacific,Singapore,570,0.01
47.237.92.26,8880,0,false,SIN,Asia Pacific,Singapore,869,0.01
47.245.102.52,2083,0,true,SIN,Asia Pacific,Singapore,350,0.01
8.222.162.45,2082,0,false,SIN,Asia Pacific,Singapore,570,0.01
8.219.111.175,2095,0,false,SIN,Asia Pacific,Singapore,688,0.01
47.237.94.140,2086,0,false,SIN,Asia Pacific,Singapore,806,0.01
47.237.100.206,2082,0,false,SIN,Asia Pacific,Singapore,897,0.01
8.222.244.192,2082,0,false,SIN,Asia Pacific,Singapore,667,0.01
47.236.167.231,2095,0,false,SIN,Asia Pacific,Singapore,701,0.00
47.237.84.173,8880,0,false,SIN,Asia Pacific,Singapore,797,0.00
8.219.210.57,2086,0,false,SIN,Asia Pacific,Singapore,589,0.00
8.219.200.145,2052,0,false,SIN,Asia Pacific,Singapore,688,0.00
8.219.67.133,8880,0,false,SIN,Asia Pacific,Singapore,561,0.00
8.222.144.50,8880,0,false,SIN,Asia Pacific,Singapore,579,0.00
8.219.107.135,2052,0,false,SIN,Asia Pacific,Singapore,562,0.00
8.222.146.222,2086,0,false,SIN,Asia Pacific,Singapore,672,0.00
8.222.150.197,8880,0,false,SIN,Asia Pacific,Singapore,694,0.00
47.237.95.156,2095,0,false,SIN,Asia Pacific,Singapore,916,0.00
8.222.249.190,8880,0,false,SIN,Asia Pacific,Singapore,566,0.00
8.219.199.220,2082,0,false,SIN,Asia Pacific,Singapore,602,0.00
47.237.95.146,2086,0,false,SIN,Asia Pacific,Singapore,806,0.00
8.219.98.13,2082,0,false,SIN,Asia Pacific,Singapore,670,0.00
47.237.83.20,2086,0,false,SIN,Asia Pacific,Singapore,821,0.00
47.236.123.133,2086,0,false,SIN,Asia Pacific,Singapore,584,0.00
8.222.160.176,2095,0,false,SIN,Asia Pacific,Singapore,675,0.00
47.237.8.82,2095,0,false,SIN,Asia Pacific,Singapore,900,0.00
8.219.229.190,80,80,false,TPE,Asia Pacific,Taipei,1,0.00
47.237.92.26,80,80,false,TPE,Asia Pacific,Taipei,1,0.00
47.245.105.224,80,80,false,TPE,Asia Pacific,Taipei,0,0.00
8.219.163.195,80,80,false,TPE,Asia Pacific,Taipei,2,0.00
8.219.60.54,80,80,false,TPE,Asia Pacific,Taipei,0,0.00
47.236.189.92,80,80,false,TPE,Asia Pacific,Taipei,10,0.00
47.236.205.188,80,80,false,TPE,Asia Pacific,Taipei,9,0.00
8.219.100.168,80,80,false,TPE,Asia Pacific,Taipei,3,0.00
47.236.170.225,80,80,false,TPE,Asia Pacific,Taipei,1,0.00
8.222.156.242,80,80,false,TPE,Asia Pacific,Taipei,9,0.00
47.236.10.100,80,80,false,TPE,Asia Pacific,Taipei,11,0.00
47.237.82.15,80,80,false,TPE,Asia Pacific,Taipei,0,0.00
8.219.1.92,80,80,false,TPE,Asia Pacific,Taipei,0,0.00
8.222.237.131,80,80,false,TPE,Asia Pacific,Taipei,1,0.00
47.236.150.13,80,80,false,TPE,Asia Pacific,Taipei,0,0.00
47.236.144.196,80,80,false,TPE,Asia Pacific,Taipei,1,0.00
8.219.198.139,80,80,false,TPE,Asia Pacific,Taipei,1,0.00
47.236.164.215,80,80,false,TPE,Asia Pacific,Taipei,5,0.00
47.236.174.206,80,80,false,TPE,Asia Pacific,Taipei,0,0.00
8.219.97.50,80,80,false,TPE,Asia Pacific,Taipei,0,0.00
8.219.240.160,80,80,false,TPE,Asia Pacific,Taipei,0,0.00
8.222.180.86,80,80,false,TPE,Asia Pacific,Taipei,1,0.00
8.222.214.231,80,80,false,TPE,Asia Pacific,Taipei,2,0.00
8.219.222.98,80,80,false,TPE,Asia Pacific,Taipei,1,0.00
47.236.17.193,80,80,false,TPE,Asia Pacific,Taipei,8,0.00
8.219.113.232,80,80,false,TPE,Asia Pacific,Taipei,1,0.00
47.245.126.151,80,80,false,TPE,Asia Pacific,Taipei,2,0.00
8.219.83.71,80,80,false,TPE,Asia Pacific,Taipei,9,0.00
8.219.174.213,80,80,false,TPE,Asia Pacific,Taipei,1,0.00
8.219.78.1,80,80,false,TPE,Asia Pacific,Taipei,1,0.00
47.237.86.185,80,80,false,TPE,Asia Pacific,Taipei,1,0.00
8.219.86.200,80,80,false,TPE,Asia Pacific,Taipei,1,0.00
47.237.11.182,80,80,false,TPE,Asia Pacific,Taipei,0,0.00
47.236.102.102,80,80,false,TPE,Asia Pacific,Taipei,2,0.00
8.219.132.64,80,80,false,TPE,Asia Pacific,Taipei,5,0.00
8.219.87.30,80,80,false,TPE,Asia Pacific,Taipei,1,0.00
47.236.117.48,80,80,false,TPE,Asia Pacific,Taipei,1,0.00
104.199.156.241,80,80,false,TPE,Asia Pacific,Taipei,1,0.00
8.219.194.170,80,80,false,TPE,Asia Pacific,Taipei,2,0.00
8.219.124.227,80,80,false,TPE,Asia Pacific,Taipei,9,0.00
8.222.150.197,80,80,false,TPE,Asia Pacific,Taipei,2,0.00
47.236.121.23,80,80,false,TPE,Asia Pacific,Taipei,1,0.00
8.219.99.169,80,80,false,TPE,Asia Pacific,Taipei,11,0.00
8.219.177.205,80,80,false,TPE,Asia Pacific,Taipei,6,0.00
47.236.144.156,80,80,false,TPE,Asia Pacific,Taipei,0,0.00
47.237.8.82,80,80,false,TPE,Asia Pacific,Taipei,1,0.00
8.222.215.228,80,80,false,TPE,Asia Pacific,Taipei,10,0.00
34.80.222.225,80,80,false,TPE,Asia Pacific,Taipei,0,0.00
8.219.139.13,80,80,false,TPE,Asia Pacific,Taipei,1,0.00
8.222.136.247,80,80,false,TPE,Asia Pacific,Taipei,0,0.00
8.219.93.5,80,80,false,TPE,Asia Pacific,Taipei,8,0.00
47.236.104.11,80,80,false,TPE,Asia Pacific,Taipei,5,0.00
47.236.172.95,80,80,false,TPE,Asia Pacific,Taipei,6,0.00
8.219.210.57,80,80,false,TPE,Asia Pacific,Taipei,10,0.00
47.236.5.223,80,80,false,TPE,Asia Pacific,Taipei,0,0.00
8.222.179.231,80,80,false,TPE,Asia Pacific,Taipei,1,0.00
8.219.114.201,2086,0,false,SIN,Asia Pacific,Singapore,578,0.00
8.219.6.150,8080,0,false,SIN,Asia Pacific,Singapore,563,0.00
8.219.220.88,2095,0,false,SIN,Asia Pacific,Singapore,583,0.00
172.93.165.228,443,443,true,TPE,Asia Pacific,Taipei,1,0.00
47.236.164.215,2082,0,false,SIN,Asia Pacific,Singapore,668,0.00
8.222.208.38,2095,0,false,SIN,Asia Pacific,Singapore,681,0.00
47.237.100.206,8880,0,false,SIN,Asia Pacific,Singapore,805,0.00
47.236.232.148,2086,0,false,SIN,Asia Pacific,Singapore,699,0.00
8.219.49.65,2086,0,false,SIN,Asia Pacific,Singapore,688,0.00
47.236.237.90,2095,0,false,SIN,Asia Pacific,Singapore,591,0.00
8.219.0.162,443,443,true,TPE,Asia Pacific,Taipei,1,0.00
8.219.49.65,8080,0,false,SIN,Asia Pacific,Singapore,559,0.00
8.219.229.190,2086,0,false,SIN,Asia Pacific,Singapore,606,0.00
